n,p,k,ec,oc,s,zn,fe,cu,mn,b,temperature,humidity,ph,rainfall,crop type
83.0,41.0,43.0,0.84,0.69,15.8,0.26,0.57,0.73,2.13,2.47,21.0525355,82.67839517,6.254028451,233.1075816,rice
98.0,47.0,37.0,0.61,0.64,26.2,0.24,0.47,1.15,1.99,1.94,23.48381344,81.33265073,7.375482851,224.0581164,rice
66.0,53.0,41.0,0.76,0.78,26.0,0.18,0.83,0.71,2.24,1.91,25.0756354,80.52389148,7.778915154,257.0038865,rice
97.0,59.0,43.0,0.52,0.69,14.6,0.23,1.19,0.39,2.16,2.82,26.35927159,84.04403589,6.286500176,271.3586137,rice
97.0,50.0,41.0,0.63,0.61,15.8,0.19,1.08,0.34,1.77,0.74,24.52922681,80.54498576,7.070959995,260.2634026,rice
60.0,49.0,44.0,0.74,0.83,8.2,0.32,0.96,1.57,2.67,0.59,20.77576147,84.49774397,6.244841491,240.0810647,rice
84.0,51.0,35.0,0.42,1.0,15.0,0.27,0.92,1.43,3.12,1.85,22.30157427,80.64416466,6.043304899,197.9791215,rice
73.0,57.0,41.0,0.53,0.72,14.8,0.28,0.57,1.34,2.15,2.18,21.44653958,84.94375962,5.824709117,272.2017204,rice
92.0,35.0,40.0,0.84,0.67,25.4,0.27,0.46,1.53,2.43,2.12,22.17931888,80.33127223,6.357389366,200.0882787,rice
85.0,37.0,39.0,0.63,0.61,22.4,0.25,0.44,1.24,2.11,0.74,24.52783742,82.73685569,6.364134968,224.6757231,rice
98.0,53.0,38.0,0.58,0.56,21.0,0.2,0.38,1.15,3.01,2.0,20.26707606,81.63895217,5.01450727,270.4417274,rice
88.0,54.0,44.0,0.52,0.47,22.4,0.73,0.46,1.14,2.72,1.97,25.7354293,83.88266234,6.149410611,233.1321372,rice
95.0,55.0,42.0,0.59,0.67,24.0,0.83,0.37,1.99,3.84,0.88,26.79533926,82.1480873,5.950660556,193.3473987,rice
99.0,57.0,35.0,0.72,0.78,26.0,0.37,0.32,1.34,3.77,2.0,26.75754171,81.17734011,5.960370061,272.2999056,rice
95.0,39.0,36.0,0.43,0.83,25.4,0.45,0.43,1.43,2.65,2.29,23.86330467,83.15250801,5.561398642,285.2493645,rice
60.0,43.0,44.0,0.43,0.86,16.0,0.36,0.38,1.92,2.88,0.59,21.01944696,82.95221726,7.416245107,298.4018471,rice
63.0,44.0,41.0,0.55,1.0,14.6,0.45,0.47,1.47,3.16,1.88,24.17298839,83.7287574,5.583370042,257.0343554,rice
62.0,42.0,36.0,0.86,0.53,7.2,0.76,0.35,1.42,5.07,2.47,22.78133816,82.06719137,6.430010215,248.7183228,rice
64.0,45.0,43.0,0.57,1.11,14.2,0.59,0.92,1.15,6.69,0.65,25.62980105,83.52842314,5.534878156,209.9001977,rice
83.0,60.0,36.0,0.72,0.54,16.0,0.29,0.95,1.91,4.64,2.53,25.59704938,80.14509262,6.903985986,200.834898,rice
82.0,40.0,40.0,0.44,1.03,17.4,0.31,0.81,1.43,4.98,2.41,23.83067496,84.81360127,6.271478838,298.5601175,rice
85.0,52.0,45.0,0.48,0.97,26.0,0.38,0.71,1.97,5.15,2.0,26.31355498,82.36698992,7.224285503,265.5355937,rice
91.0,35.0,38.0,0.57,0.72,14.6,0.18,1.06,0.92,2.46,1.85,24.8972823,80.52586088,6.13428721,183.6793207,rice
76.0,49.0,42.0,0.57,0.83,8.6,0.18,0.96,0.93,2.15,2.18,24.958779,84.47963372,5.206373153,196.9560008,rice
74.0,39.0,38.0,0.63,0.94,12.6,0.19,1.02,1.15,2.24,2.47,23.24113501,84.59201843,7.782051313,233.0453455,rice
79.0,43.0,39.0,0.58,1.03,14.0,0.25,1.05,1.19,2.16,2.82,21.66628296,80.70960551,7.062779015,210.8142087,rice
88.0,55.0,45.0,0.51,1.06,11.0,0.2,1.03,1.04,2.35,1.82,24.63544858,80.41363018,7.730367824,253.7202781,rice
60.0,36.0,43.0,0.43,0.75,7.2,0.18,0.95,0.89,2.16,0.74,23.43121862,83.06310136,5.286203711,219.9048349,rice
76.0,60.0,39.0,0.42,1.08,14.0,0.18,0.86,1.04,2.0,2.23,20.0454142,80.3477562,6.766240045,208.5810155,rice
93.0,56.0,42.0,0.44,1.0,13.1,0.18,0.78,1.03,2.27,1.94,23.85724032,82.22572988,7.382762603,195.0948311,rice
65.0,60.0,43.0,0.29,1.06,12.8,0.17,0.76,0.92,2.88,2.21,21.97199397,81.89918197,5.658169482,227.3637009,rice
95.0,52.0,36.0,0.67,0.83,11.2,0.23,0.95,0.88,2.65,1.82,26.22916897,83.83625819,5.543360238,286.5083725,rice
75.0,38.0,39.0,0.34,0.83,11.6,0.43,0.59,0.89,2.2,1.32,23.44676801,84.79352417,6.215109715,283.9338466,rice
74.0,54.0,38.0,0.48,0.92,8.8,0.3,1.29,1.71,4.99,2.59,25.65553461,83.47021081,7.120272972,217.3788583,rice
91.0,36.0,45.0,0.43,0.78,14.0,0.46,0.35,1.74,2.38,2.29,24.44345477,82.45432595,5.950647577,267.9761948,rice
71.0,46.0,40.0,0.44,0.61,27.2,0.56,0.35,1.6,2.66,2.82,20.2801937,82.1235421,7.236705436,191.9535738,rice
99.0,55.0,35.0,0.37,0.78,21.0,0.19,0.74,1.43,2.42,2.29,21.7238313,80.2389895,6.501697816,277.9626192,rice
72.0,40.0,38.0,0.54,0.92,22.8,0.37,0.51,1.69,6.0,2.26,20.41447029,82.20802629,7.592490617,245.1511304,rice
83.0,58.0,45.0,0.68,0.86,23.0,0.3,0.46,1.53,9.53,2.82,25.75528612,83.51827127,5.875345751,245.6626799,rice
93.0,58.0,38.0,0.46,0.81,16.0,0.32,0.5,1.34,3.7,2.47,20.61521424,83.77345559,6.932400225,279.5451717,rice
70.0,36.0,42.0,0.43,0.78,14.8,0.27,0.61,1.41,2.88,2.41,21.84106875,80.72886384,6.946209881,202.3838319,rice
76.0,47.0,42.0,0.42,0.69,23.0,0.23,0.46,1.02,2.71,1.71,20.08369642,83.29114712,5.739175027,263.6372176,rice
99.0,41.0,36.0,0.31,0.75,11.3,0.78,0.4,1.04,2.43,1.29,24.45802087,82.74835604,6.738652179,182.5616319,rice
99.0,54.0,37.0,0.56,0.61,11.6,0.46,0.68,1.14,2.79,1.23,21.14347496,80.33502926,5.594819626,198.6730942,rice
86.0,59.0,35.0,0.32,0.81,25.7,0.5,0.65,1.16,2.27,1.35,25.78720567,82.11124033,6.946636369,243.5120414,rice
69.0,46.0,41.0,0.62,0.89,11.7,0.56,0.64,1.03,7.75,1.38,23.64124821,80.28597873,5.012139669,263.1103304,rice
91.0,56.0,37.0,0.47,0.75,11.8,0.63,0.5,1.02,7.71,1.53,23.43191632,80.56887849,6.363472208,269.5039162,rice
61.0,52.0,41.0,0.37,0.69,11.0,0.28,0.48,0.91,1.89,1.65,24.97669518,83.891805,6.880431223,204.8001847,rice
67.0,45.0,38.0,0.71,0.83,11.2,0.37,0.54,1.13,1.99,1.59,22.72791041,82.1706881,7.300410836,260.8875056,rice
79.0,42.0,37.0,0.46,0.78,11.7,0.32,0.49,1.06,2.1,1.53,24.87300744,82.84022551,6.587918708,295.6094492,rice
78.0,43.0,42.0,0.53,0.78,11.8,0.37,0.53,1.02,7.77,1.32,21.32376327,83.00320459,7.283736617,192.3197536,rice
75.0,54.0,36.0,0.6,0.61,10.4,0.48,0.63,0.86,2.0,1.29,26.29465461,84.56919326,7.023936392,257.4914906,rice
97.0,36.0,45.0,0.71,0.67,11.0,0.38,1.07,1.71,4.43,2.41,22.2286982,81.85872947,6.939083505,278.0791793,rice
67.0,47.0,44.0,0.49,0.75,12.6,0.35,3.42,1.6,10.61,2.0,26.73072391,81.78596776,7.868474653,280.4044392,rice
73.0,35.0,38.0,0.73,0.81,10.2,0.37,2.19,1.52,2.75,2.06,24.88921174,81.97927117,5.005306977,185.9461429,rice
77.0,36.0,37.0,0.46,0.75,13.6,0.42,0.6,1.22,2.53,2.26,26.88444878,81.46033732,6.136131869,194.5766559,rice
81.0,41.0,38.0,0.63,0.83,3.2,0.44,0.77,1.16,3.76,2.12,22.67846116,83.72874389,7.524080076,200.9133156,rice
68.0,57.0,43.0,0.42,0.81,14.5,0.48,0.5,1.21,2.62,2.35,26.08867875,80.37979919,5.706943251,182.9043504,rice
72.0,45.0,35.0,0.57,0.89,9.0,0.47,0.64,1.18,3.66,2.18,25.42977518,82.94682591,5.758506323,195.3574542,rice
61.0,53.0,43.0,0.43,0.75,13.0,0.45,1.2,1.25,2.76,2.65,26.40323239,81.05635517,6.349606327,223.3671883,rice
67.0,43.0,39.0,0.63,0.78,8.4,0.37,2.12,1.03,2.84,2.26,26.04371967,84.96907151,5.999969026,186.7536773,rice
67.0,58.0,39.0,0.61,0.67,27.1,0.42,1.18,1.04,2.76,1.62,25.2827223,80.54372813,5.453592032,220.1156708,rice
66.0,60.0,38.0,0.23,0.56,26.0,0.52,2.08,1.68,3.43,2.12,22.08576562,83.47038318,6.372576327,231.7364957,rice
82.0,43.0,38.0,0.38,0.72,19.5,0.48,2.06,1.26,2.77,1.85,23.28617173,81.43321641,5.105588355,242.3170629,rice
84.0,50.0,44.0,0.71,0.67,13.9,0.45,1.06,1.05,3.63,2.29,25.48591986,81.40633547,5.935344406,182.6549356,rice
81.0,53.0,42.0,0.59,0.75,23.9,0.36,0.59,1.25,2.76,2.21,23.67575393,81.03569343,5.17782304,233.7034975,rice
91.0,50.0,40.0,0.76,0.61,2.5,0.38,0.74,1.43,2.74,0.94,20.82477109,84.1341879,6.462391607,230.2242223,rice
93.0,53.0,38.0,0.41,0.81,6.5,0.46,0.5,1.47,2.97,2.65,26.92995077,81.91411159,7.069172227,290.6793783,rice
90.0,44.0,38.0,0.67,0.89,28.6,0.71,0.59,1.24,2.89,2.41,23.83509503,83.88387074,7.473134377,241.2013513,rice
81.0,45.0,35.0,0.42,0.83,8.5,0.39,0.52,1.21,2.5,2.21,26.52872817,80.12267476,6.158376967,218.9163567,rice
78.0,40.0,38.0,0.77,0.75,8.0,0.36,0.67,1.24,2.76,2.06,26.46428311,83.85642678,7.549873681,248.2256491,rice
60.0,51.0,36.0,0.53,0.39,10.86,0.32,9.32,0.69,9.03,0.69,22.69657794,82.81088865,6.028321558,256.9964761,rice
88.0,46.0,42.0,0.48,0.88,4.52,0.42,4.05,1.06,5.3,0.29,22.68319059,83.46358271,6.604993475,194.2651719,rice
93.0,47.0,37.0,0.66,0.1,7.24,0.5,7.32,0.87,6.32,0.4,21.53346343,82.14004101,6.500343222,295.9248796,rice
60.0,55.0,45.0,0.43,0.68,5.43,0.47,6.52,1.52,8.05,0.32,21.40865769,83.3293191,5.935745417,287.5766935,rice
78.0,35.0,44.0,0.72,0.49,3.32,0.36,4.56,1.96,13.02,0.67,26.54348085,84.67353597,7.072655622,183.6222657,rice
65.0,37.0,40.0,0.38,0.78,3.92,0.52,8.06,1.32,14.52,0.46,23.35905428,83.59512273,5.333322606,188.413665,rice
71.0,54.0,16.0,0.74,0.2,5.13,0.34,3.59,1.54,17.56,0.55,22.61359953,63.69070564,5.749914421,87.75953857,maize
61.0,44.0,17.0,0.82,1.07,4.22,0.58,4.58,0.86,11.52,0.74,26.10018422,71.57476937,6.931756558,102.2662445,maize
80.0,43.0,16.0,0.43,0.88,3.32,0.42,7.63,0.51,9.03,0.86,23.55882094,71.59351368,6.657964753,66.71995467,maize
73.0,58.0,21.0,0.62,0.39,7.54,0.32,9.32,1.35,4.85,0.27,19.97215954,57.68272924,6.596060648,60.65171481,maize
61.0,38.0,20.0,0.71,0.68,7.84,0.57,4.02,1.25,6.32,0.23,18.47891261,62.69503871,5.970458434,65.43835393,maize
68.0,41.0,16.0,0.43,0.2,4.22,0.58,9.63,0.86,8.32,0.34,21.77689322,57.80840636,6.158830619,102.0861694,maize
93.0,41.0,17.0,0.53,0.1,5.13,0.39,4.02,1.03,13.05,0.25,25.6217169,66.50415474,6.047906679,105.4654703,maize
89.0,60.0,19.0,0.42,0.29,5.73,0.33,8.32,1.45,9.63,0.32,25.19192419,66.6902901,5.913664501,78.06639649,maize
76.0,44.0,17.0,0.77,1.17,6.33,0.51,6.03,1.32,7.63,0.4,20.41683147,62.5542482,5.855442401,65.27798457,maize
67.0,60.0,25.0,0.41,0.88,4.52,0.28,4.85,0.85,13.05,0.29,24.92162194,66.78627406,5.750254943,109.2162279,maize
70.0,44.0,19.0,0.76,0.1,7.84,0.52,4.05,1.63,7.63,0.34,23.31689124,73.4541537,5.852607099,94.29712821,maize
90.0,49.0,21.0,0.52,0.29,5.73,0.33,8.32,1.45,9.63,0.32,24.84016732,68.3584573,6.472523287,74.05474936,maize
62.0,52.0,16.0,0.36,0.88,4.22,0.48,5.02,0.63,6.03,0.25,22.27526694,58.84015925,6.967057762,63.87020584,maize
92.0,44.0,16.0,0.61,0.1,5.73,0.52,9.32,1.02,11.63,0.78,18.87751445,65.76816093,6.082973754,94.76189431,maize
66.0,54.0,21.0,0.6,0.49,9.65,0.39,7.15,1.58,12.02,2.29,25.19008683,60.2001687,5.919045532,72.12375573,maize
63.0,58.0,22.0,0.52,0.78,4.22,0.24,4.02,1.3,7.51,0.29,18.25405352,55.28220433,6.204747653,63.72358154,maize
70.0,47.0,17.0,0.76,1.07,10.86,0.28,5.21,0.69,12.21,0.53,24.6129118,70.4162444,6.600827017,104.1626147,maize
61.0,41.0,17.0,0.53,0.88,5.43,0.63,3.26,1.05,5.25,0.61,25.1420613,65.26185135,6.021902237,76.68456006,maize
66.0,53.0,19.0,0.76,0.49,7.84,0.41,4.05,2.02,4.85,0.46,23.09348056,60.1159381,6.033550195,65.49730729,maize
74.0,55.0,19.0,0.53,0.68,9.65,0.52,2.89,1.58,13.25,0.29,18.05033737,62.89366992,6.28886807,84.23613484,maize
77.0,57.0,21.0,0.46,0.2,4.22,0.35,6.32,0.68,8.5,0.55,24.9321581,73.80435276,6.550563823,79.74078719,maize
99.0,50.0,15.0,0.42,1.17,5.13,0.6,7.51,0.78,6.32,0.74,18.14710054,71.09445342,5.573286437,88.07753741,maize
74.0,56.0,22.0,0.65,0.98,8.75,0.52,3.15,1.05,7.15,0.9,18.28362235,66.65952796,6.829199275,80.97573281,maize
83.0,45.0,21.0,0.45,0.88,7.84,0.48,4.32,1.96,9.52,0.31,18.83344471,58.75082029,5.716222912,79.7532896,maize
100.0,48.0,16.0,0.64,0.1,6.33,0.41,1.69,1.57,11.05,0.53,25.71895816,67.22190688,5.54990242,74.51490791,maize
79.0,51.0,16.0,0.44,0.78,4.52,0.36,6.23,0.68,14.15,0.4,25.33797709,68.49835977,6.586244581,96.46380213,maize
94.0,39.0,18.0,0.6,0.59,10.26,0.25,4.05,0.5,12.3,0.32,23.89114571,57.48775781,5.893093135,102.8301942,maize
75.0,49.0,15.0,0.59,0.39,5.43,0.28,2.68,1.26,19.21,0.55,21.53574127,71.50905983,5.918263801,102.4852929,maize
78.0,48.0,22.0,0.72,0.68,6.64,0.37,3.51,1.03,14.52,0.59,23.08974909,63.10459626,5.588650585,70.43473609,maize
87.0,54.0,20.0,0.53,0.49,5.43,0.25,5.69,2.02,7.68,0.65,25.61707368,63.4711755,6.576418207,108.8303762,maize
87.0,35.0,25.0,0.48,0.1,9.65,0.39,3.9,1.89,13.25,0.53,21.44526922,63.1621551,6.178056304,65.88951188,maize
63.0,43.0,19.0,0.53,1.17,5.13,0.52,4.12,0.87,6.17,0.4,18.51816776,55.53128131,6.641906353,90.988051,maize
84.0,57.0,25.0,0.76,0.29,4.25,0.42,2.05,1.05,12.05,0.31,22.53510514,67.99257471,6.489040367,64.40866039,maize
64.0,35.0,23.0,0.82,0.59,8.75,0.57,1.98,1.63,6.38,0.73,23.02038334,61.89472002,5.680361038,63.03843397,maize
60.0,46.0,22.0,0.61,0.1,10.86,0.35,3.25,0.78,4.51,0.21,24.89364635,65.61418761,6.625404348,87.9298085,maize
98.0,44.0,21.0,0.57,0.88,9.65,0.29,6.3,1.51,9.32,0.34,25.77175115,74.089114,6.524478032,107.4931917,maize
75.0,56.0,18.0,0.81,0.39,4.52,0.57,7.21,1.63,11.5,0.53,19.39851734,62.35750641,5.696205468,60.95197486,maize
86.0,55.0,21.0,0.54,0.59,7.24,0.48,4.15,0.98,13.52,0.4,21.54156232,59.64024162,6.803931519,109.7515385,maize
98.0,35.0,18.0,0.56,0.29,5.43,0.29,3.26,1.05,14.25,0.29,23.79746068,74.82913698,6.252797548,91.76337172,maize
76.0,57.0,18.0,0.62,0.1,9.95,0.34,6.53,1.87,6.25,0.42,18.9802729,74.52600826,6.092725883,94.26249353,maize
99.0,56.0,17.0,0.6,0.78,5.13,0.51,1.87,1.6,9.32,0.25,24.10859207,73.13112261,6.234330356,71.07562236,maize
60.0,44.0,23.0,0.61,0.49,7.54,0.46,5.02,0.69,7.15,0.71,24.7947077,70.04556743,5.722579819,76.72860067,maize
74.0,48.0,17.0,0.53,0.68,5.73,0.28,6.33,0.7,11.56,0.78,21.63162756,60.27766379,6.430616465,69.21803098,maize
89.0,60.0,17.0,0.74,1.17,10.26,0.33,4.51,1.3,6.25,0.29,25.37548751,57.21025565,5.983952675,101.7004306,maize
69.0,51.0,23.0,0.68,0.88,4.52,0.51,6.23,1.89,7.05,0.53,22.21738222,72.85462807,6.80163854,106.6213157,maize
96.0,46.0,22.0,0.59,0.1,8.75,0.27,4.05,0.52,15.62,0.4,20.58314011,69.00128641,6.499936446,66.29390357,maize
61.0,60.0,15.0,0.62,1.27,10.56,0.39,7.35,0.66,7.53,0.27,24.87502824,68.74248334,6.265564338,91.26056654,maize
74.0,58.0,18.0,0.52,0.68,4.22,0.51,6.49,1.05,9.32,0.31,20.03728219,56.35606753,6.727303282,109.024141,maize
74.0,43.0,23.0,0.63,1.17,8.14,0.6,4.05,1.96,4.15,0.52,25.95263264,61.89082199,6.325235159,99.57981207,maize
63.0,43.0,17.0,0.62,0.88,6.94,0.57,6.32,1.32,12.58,0.63,19.28889933,65.47050802,6.807487794,71.3195307,maize
99.0,36.0,20.0,0.51,0.78,26.24,0.33,5.21,3.02,4.52,0.55,20.57981887,65.34583901,6.671085817,78.34604471,maize
77.0,36.0,23.0,0.72,0.1,4.22,0.49,8.51,0.75,6.32,0.76,24.71417533,56.73426469,6.648725327,88.45361858,maize
87.0,60.0,23.0,0.64,0.78,7.54,0.35,2.48,1.53,11.89,0.5,20.27317074,63.91281869,6.439071996,62.50351892,maize
60.0,38.0,17.0,0.57,0.59,4.83,0.26,3.15,1.96,9.06,0.38,18.41932981,64.23580251,6.474476516,76.41312437,maize
94.0,54.0,17.0,0.64,0.15,9.9,0.34,3.77,0.97,7.83,0.17,23.39128187,61.74427165,5.871647806,107.3198135,maize
95.0,38.0,22.0,0.55,0.44,3.8,0.35,3.24,0.88,7.94,0.19,19.84939404,61.24500053,5.730617109,100.7689246,maize
84.0,44.0,21.0,0.61,0.47,9.6,0.4,3.56,0.74,8.65,0.09,21.869274,61.91044947,5.850439831,107.2681929,maize
77.0,58.0,19.0,0.63,0.29,6.5,0.26,3.66,0.54,8.4,0.08,22.8056033,56.50768935,5.791649933,101.5952794,maize
66.0,44.0,20.0,0.47,0.97,7.2,0.26,3.84,0.65,9.27,0.11,19.0781471,69.02298571,6.740000688,80.72515943,maize
63.0,35.0,16.0,0.58,0.32,7.5,0.33,3.94,0.6,9.04,0.12,22.02720976,65.35549924,6.272417541,83.73280082,maize
79.0,45.0,20.0,0.53,0.27,7.9,0.34,3.49,0.43,8.45,0.12,23.80546189,59.24537979,5.715208817,89.9622014,maize
72.0,60.0,25.0,0.42,0.15,11.3,0.29,3.56,0.55,8.66,0.17,18.52510753,69.0276233,5.773454729,88.10234397,maize
67.0,51.0,24.0,0.67,0.21,8.6,0.23,3.43,0.7,8.53,0.18,23.50297882,61.32026065,5.584171461,64.77791424,maize
86.0,36.0,24.0,0.45,0.35,6.4,0.15,3.95,0.76,8.65,0.11,26.54986394,72.89187265,5.787268394,73.33636055,maize
76.0,48.0,18.0,0.53,0.29,4.4,0.25,2.35,0.55,7.54,0.14,19.29563411,69.63481219,5.77597783,83.21030571,maize
75.0,53.0,18.0,0.44,0.35,13.1,0.36,3.19,0.69,7.99,0.17,20.68899915,59.4375337,6.864793607,103.651438,maize
81.0,45.0,23.0,0.52,0.38,8.9,0.36,2.96,0.8,8.66,0.18,19.32666088,68.034493,6.192360003,84.22969177,maize
73.0,45.0,21.0,0.77,0.47,6.0,0.37,2.77,0.87,8.94,0.11,24.60532218,73.58868502,6.636803223,96.59195302,maize
71.0,35.0,24.0,0.68,0.53,3.7,0.25,2.55,0.99,8.35,0.08,22.27373646,59.52193158,5.826426917,67.96704792,maize
96.0,54.0,22.0,0.78,0.35,5.6,0.29,2.96,0.97,8.6,0.14,25.70196694,61.33450447,6.960358276,83.20711308,maize
99.0,39.0,18.0,0.44,0.29,6.9,0.37,3.16,0.87,8.76,0.16,19.20129357,68.30578978,6.11275104,87.85092352,maize
62.0,48.0,20.0,0.81,0.12,7.2,0.39,3.53,0.95,9.23,0.18,21.70181447,60.47470519,6.708446922,95.71388473,maize
86.0,37.0,16.0,0.66,0.97,7.7,0.37,2.95,1.1,7.65,0.11,20.51716779,59.21235483,5.561510732,67.61013737,maize
94.0,50.0,19.0,0.78,0.76,8.9,0.29,2.54,1.2,7.9,0.13,23.30355338,73.62548442,5.873242491,97.59081274,maize
76.0,39.0,24.0,0.82,0.71,10.1,0.19,2.75,0.97,7.96,0.18,24.2547451,55.64709899,6.995843776,64.23845455,maize
77.0,52.0,17.0,0.78,0.35,9.6,0.29,2.6,0.85,8.27,0.11,24.86374934,65.7420046,5.714799723,75.82270467,maize
74.0,39.0,23.0,0.67,0.29,9.9,0.34,2.66,0.97,8.55,0.12,22.6265115,65.77472881,6.78073637,88.17251033,maize
81.0,49.0,20.0,0.51,0.38,8.9,0.35,2.93,0.97,8.34,0.12,18.04185513,60.61494304,5.513697923,104.2321615,maize
63.0,42.0,21.0,0.44,0.47,9.0,0.26,3.24,1.05,8.45,0.11,23.26237612,72.33125523,5.798423908,67.10225139,maize
99.0,38.0,21.0,0.41,0.35,13.7,0.34,3.09,1.2,9.0,0.12,22.88330922,71.59722446,6.352471866,67.72777298,maize
90.0,52.0,25.0,0.47,0.41,4.4,0.29,3.06,1.07,9.26,0.12,25.97482359,69.36385721,6.822586546,103.2234212,maize
68.0,40.0,19.0,0.43,0.35,8.9,0.36,3.24,0.77,9.73,0.14,26.14384005,66.20569924,6.655426355,107.2361366,maize
60.0,57.0,24.0,0.54,0.44,9.6,0.23,2.75,0.85,8.45,0.17,18.66116213,61.55327249,6.121294041,75.03247667,maize
71.0,52.0,18.0,0.52,0.47,3.7,0.34,2.83,0.9,8.66,0.18,25.10787449,55.97732754,5.790770203,78.16077693,maize
61.0,59.0,17.0,0.68,1.0,13.1,0.25,2.65,0.97,8.34,0.11,23.33844615,59.24580604,6.47444292,105.0083144,maize
88.0,38.0,15.0,0.49,0.29,4.6,0.4,2.96,0.97,8.25,0.12,25.08239719,65.92195844,6.455116637,62.49190812,maize
65.0,60.0,22.0,0.67,0.12,8.9,0.33,3.14,0.85,8.97,0.12,25.36768364,72.52054555,6.606984086,107.9124111,maize
78.0,37.0,22.0,0.43,0.44,7.2,0.34,3.25,0.74,8.37,0.17,25.34217103,63.31801994,6.330554389,74.52082026,maize
78.0,58.0,15.0,0.65,0.47,6.9,0.35,3.54,0.85,9.05,0.18,25.00933355,67.816568,6.528631266,62.91359494,maize
92.0,60.0,23.0,0.48,0.35,7.2,0.34,2.76,1.0,9.76,0.11,18.66746724,71.516474,5.721667141,69.93293255,maize
79.0,59.0,17.0,0.52,0.53,4.4,0.25,2.84,0.83,9.84,0.12,20.37999665,63.73849998,6.644205485,108.5054416,maize
91.0,55.0,15.0,0.47,0.5,11.3,0.37,2.96,0.94,8.94,0.17,18.09300227,72.61024172,6.376651091,78.96159541,maize
76.0,51.0,18.0,0.41,0.65,8.6,0.27,3.15,0.99,9.09,0.19,26.16985907,71.96246617,6.247040422,79.84925393,maize
87.0,48.0,25.0,0.58,0.24,2.5,0.24,2.84,0.94,7.73,0.07,18.65396672,61.37879671,6.656730008,93.62039175,maize
71.0,60.0,22.0,0.57,0.59,3.1,0.24,2.49,0.52,7.74,0.14,26.07470121,59.37147589,6.2048017,85.75692395,maize
90.0,57.0,24.0,0.41,0.85,6.0,0.34,2.42,0.65,8.64,0.15,18.92851916,72.80086137,6.158860284,82.34162918,maize
