temperature,humidity,moisture,n,p,k,rainfall,ph,light_hours,light_intensity,rh,nitrogen,phosphorus,potassium,yield,n_ratio,p_ratio,k_ratio,ec,oc,om,zn,fe,cu,mn,sand,silt,clay,caco3,cec,output,s,b,soil type,crop type,fertilizer name,season,fertility,photoperiod,category_ph,soil_type
27.0,54.0,28.0,13.0,0.0,40.0,1960.4674076,6.7662284954,6.6367559282,212.18937442,94.05446476,131.14824231999998,39.163273348,83.497953212,3.8720695838,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.53999999999999,2.9799999999999995,4.48,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,24.0,5.0,4.0,1.0,2.0,0.0,1.0
31.0,62.0,48.0,14.0,15.0,12.0,780.57809722,6.5853730036,13.190620954,606.0697119200001,92.53146919,137.3372152,61.601777684,140.83324938,12.310296144,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,19.0,2.0,4.0,1.0,2.0,0.0,1.0
25.0,50.0,65.0,36.0,0.0,0.0,914.49201918,6.385788783200001,9.5758844184,510.6746993800001,76.020163884,343.80957322000006,145.29463403999998,525.16563592,24.788032626,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,9.0,7.0,6.0,1.0,2.0,0.0,1.0
32.0,62.0,41.0,24.0,0.0,22.0,1986.7558204,6.7042623302,6.8228675798,203.30490724,93.96052277,128.82437138,40.759174058,86.028447866,3.6219475832,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,22.0,4.0,5.0,1.0,2.0,0.0,1.0
26.0,52.0,31.0,14.0,0.0,41.0,761.5833857,6.2494275712,13.139767876,589.7870546800001,92.360488384,135.03351362,60.236993688000005,136.010419,12.116798878,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.53999999999999,2.9799999999999995,4.48,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,16.0,5.0,4.0,1.0,2.0,0.0,1.0
31.0,62.0,49.0,10.0,13.0,14.0,651.03449974,6.4273827618,6.938248931199999,306.49344402,90.00335981599999,89.04837494,39.545795940000005,61.57071378600001,47.905472786,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,28.0,2.0,2.0,1.0,2.0,0.0,1.0
33.0,64.0,34.0,38.0,0.0,0.0,2001.3753976000005,6.584301782999999,6.90596876,186.96391614,94.278279844,129.63368378,40.378667044,85.708826674,3.714783322,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,24.0,7.0,4.0,1.0,2.0,0.0,1.0
25.0,50.0,39.0,21.0,0.0,19.0,906.52347996,6.583983748,7.292755768199998,378.60302264,55.34973885000001,139.94635488,84.84600275599999,192.04029814,23.575955012,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,2.0,4.0,8.0,1.0,2.0,0.0,1.0
28.0,54.0,65.0,39.0,0.0,0.0,925.1039633,6.2494196308,9.4338690712,543.45996624,76.90981207600001,347.13734004,144.50953868000002,524.2449443799999,24.764788470000003,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,9.0,7.0,6.0,1.0,2.0,0.0,1.0
29.0,58.0,52.0,13.0,0.0,36.0,644.55087934,6.3077785222000005,6.9759295616,334.92865426000003,83.17901717999999,98.48479036199998,62.572959278000006,112.558095064,50.415761338,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,32.0,5.0,8.0,1.0,2.0,0.0,1.0
30.0,60.0,44.0,10.0,0.0,9.0,1480.05932222,6.717093413000001,9.5058351464,350.53880704,93.731220098,130.79020752,50.340249644,109.144639186,7.025078724400001,11.8,11.8,11.8,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,20.0,3.0,4.0,1.0,2.0,0.0,1.0
34.0,65.0,53.0,12.0,14.0,12.0,673.81025862,6.523738924999999,7.1311928118,286.51886358,90.152753856,88.449170642,40.012689844,55.818292234,48.729979918000005,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,28.0,2.0,2.0,1.0,2.0,0.0,1.0
35.0,68.0,33.0,11.0,0.0,37.0,609.2564989599999,6.452858363599999,6.8721327774,304.35669536000006,89.995887,89.17657768199999,45.021832982,59.877916202,48.623640604,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,29.0,5.0,4.0,1.0,2.0,0.0,1.0
28.0,54.0,37.0,36.0,0.0,0.0,1757.4545639400003,6.5865689214,6.579677506600001,239.45638286,88.66461264,143.17277792,48.002766858,99.55164614999998,9.0976889842,12.4,12.4,12.4,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,20.0,7.0,4.0,1.0,2.0,0.0,1.0
33.0,64.0,39.0,13.0,0.0,10.0,1986.7558204,6.7042623302,6.8228675798,203.30490724,93.96052277,128.82437138,40.759174058,86.028447866,3.6219475832,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,22.0,3.0,5.0,1.0,2.0,0.0,1.0
26.0,52.0,44.0,23.0,0.0,20.0,761.5833857,6.2494275712,13.139767876,589.7870546800001,92.360488384,135.03351362,60.236993688000005,136.010419,12.116798878,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,19.0,4.0,4.0,1.0,2.0,0.0,1.0
30.0,60.0,63.0,9.0,9.0,29.0,1010.54510726,6.436248227,9.2739978022,495.70867066,76.542652862,227.69241723,99.542405814,344.270907452,26.479390494,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,9.0,1.0,6.0,1.0,2.0,0.0,1.0
32.0,62.0,30.0,38.0,0.0,0.0,654.78116298,6.4072203946,6.8581958688,298.11728982,90.072104192,87.81728421,43.15792304199999,56.756815824,47.245564096,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,28.0,7.0,2.0,1.0,2.0,0.0,1.0
37.0,70.0,32.0,12.0,0.0,39.0,1476.4063863400002,6.5628677946,6.7951532408,226.66961336,92.274655494,111.47874594,42.771083602,74.550954754,20.6798951784,11.8,11.8,11.8,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.53999999999999,2.9799999999999995,4.48,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,21.0,5.0,4.0,1.0,2.0,0.0,1.0
26.0,52.0,36.0,14.0,0.0,13.0,1960.4674076,6.7662284954,6.6367559282,212.18937442,94.05446476,131.14824232,39.163273348,83.497953212,3.872069583800001,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,24.0,3.0,4.0,1.0,2.0,0.0,1.0
29.0,58.0,40.0,24.0,0.0,23.0,780.57809722,6.5853730036,13.190620954,606.06971192,92.53146919,137.3372152,61.601777684,140.83324938,12.310296144000002,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,16.0,4.0,4.0,1.0,2.0,0.0,1.0
30.0,60.0,27.0,12.0,0.0,40.0,960.29513964,6.460632295400001,6.8847635828,273.15051488,90.392072128,97.50199630000002,39.81898373600001,67.37390616,38.3050314036,10.6,10.6,10.6,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.53999999999999,2.9799999999999995,4.48,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,28.0,5.0,2.0,1.0,2.0,0.0,1.0
34.0,65.0,38.0,39.0,0.0,0.0,2001.3753976000005,6.584301782999999,6.90596876,186.96391614,94.278279844,129.63368378,40.378667044,85.708826674,3.714783322,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,22.0,7.0,5.0,1.0,2.0,0.0,1.0
36.0,68.0,38.0,7.0,9.0,30.0,1020.21108506,6.316564028,9.2314135838,397.92987704,55.532840876,197.96381656,100.456400902,251.19924118,10.290592261,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,2.0,1.0,8.0,1.0,2.0,0.0,1.0
26.0,52.0,48.0,23.0,0.0,19.0,493.32005346,6.1261815078,7.0210227448,577.74495252,55.952649852,133.54370312,155.73584942,315.92420684,61.199132564,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,32.0,4.0,8.0,1.0,2.0,0.0,1.0
28.0,54.0,35.0,41.0,0.0,0.0,1757.4545639400003,6.5865689214,6.579677506600001,239.45638286,88.66461264,143.17277792,48.002766858,99.55164614999998,9.0976889842,12.4,12.4,12.4,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,20.0,7.0,4.0,1.0,2.0,0.0,1.0
30.0,60.0,61.0,8.0,10.0,31.0,1010.54510726,6.436248227,9.2739978022,495.70867066,76.542652862,227.69241723,99.542405814,344.270907452,26.479390494,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,9.0,1.0,6.0,1.0,2.0,0.0,1.0
37.0,70.0,37.0,12.0,0.0,41.0,632.66912336,6.532678100999999,7.121514522,282.5472495,89.86018711400001,90.188176016,46.136681032,55.836861406,46.85475451199999,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.53999999999999,2.9799999999999995,4.48,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,22.0,5.0,5.0,1.0,2.0,0.0,1.0
25.0,50.0,26.0,15.0,14.0,11.0,779.65992648,6.4402337476,12.974651534,598.29102702,92.242783326,141.02706382000002,61.222633048,141.06049814,12.156924498,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,16.0,2.0,4.0,1.0,2.0,0.0,1.0
29.0,58.0,34.0,15.0,0.0,37.0,1818.27171924,6.801072781799999,7.8200087702,284.07184232,93.799588966,130.55941864,44.693656984,99.022262776,5.682332541800001,12.4,12.4,12.4,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,20.0,5.0,4.0,1.0,2.0,0.0,1.0
27.0,54.0,30.0,13.0,0.0,13.0,1960.4674076,6.7662284954,6.6367559282,212.18937442,94.05446476,131.14824231999998,39.163273348,83.497953212,3.8720695838,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,24.0,3.0,4.0,1.0,2.0,0.0,1.0
30.0,60.0,58.0,10.0,7.0,32.0,960.29513964,6.460632295400001,6.8847635828,273.15051488,90.392072128,97.50199630000002,39.81898373600001,67.37390616,38.3050314036,10.6,10.6,10.6,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,28.0,1.0,2.0,1.0,2.0,0.0,1.0
32.0,62.0,34.0,22.0,0.0,24.0,644.98758452,6.480734507799999,6.8776178244,308.86041518,89.818810188,90.293846646,41.461186076,54.907839948,47.65542109,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,29.0,4.0,4.0,1.0,2.0,0.0,1.0
34.0,65.0,60.0,35.0,0.0,0.0,673.81025862,6.523738924999999,7.1311928118,286.51886358,90.152753856,88.449170642,40.012689844,55.818292234,48.729979918000005,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,28.0,7.0,2.0,1.0,2.0,0.0,1.0
35.0,67.0,42.0,10.0,0.0,35.0,1020.21108506,6.316564028,9.2314135838,397.92987704,55.532840876,197.96381656,100.456400902,251.19924118,10.290592261,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,2.0,5.0,8.0,1.0,2.0,0.0,1.0
38.0,70.0,48.0,8.0,8.0,28.0,651.12890774,6.5846986738,7.276092831200001,299.0737125,90.248404394,92.085409488,41.834980308,62.04404411,48.167633664,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,32.0,1.0,8.0,1.0,2.0,0.0,1.0
26.0,52.0,32.0,12.0,0.0,8.0,645.45564842,5.7199608234,6.9233994976,397.1280342,71.28983336799999,197.06548524,85.731389062,168.7801632,29.378122682000004,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,21.0,3.0,4.0,1.0,2.0,0.0,1.0
29.0,58.0,43.0,24.0,0.0,18.0,1981.468093,6.813130194,6.7156621864,195.54116038,94.151293992,129.41174324,40.58007705,86.80649619799999,4.057697769999999,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,22.0,4.0,5.0,1.0,2.0,0.0,1.0
30.0,60.0,29.0,41.0,0.0,0.0,780.57809722,6.5853730036,13.190620954,606.06971192,92.53146919,137.3372152,61.601777684,140.83324938,12.310296144000002,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,16.0,7.0,4.0,1.0,2.0,0.0,1.0
33.0,64.0,51.0,5.0,9.0,29.0,789.70739432,6.5696837958000005,13.232005694,597.98231624,92.893770538,140.0086978,62.65768473999999,137.87277636000002,12.111030196000002,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,19.0,1.0,4.0,1.0,2.0,0.0,1.0
34.0,65.0,31.0,23.0,0.0,21.0,698.6096420199999,6.5481468106,6.8031435082,297.53379320000005,89.973815384,91.186701826,41.076094646,55.754316284000005,48.35050991199999,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,29.0,4.0,4.0,1.0,2.0,0.0,1.0
36.0,68.0,33.0,13.0,0.0,14.0,2001.3753976000005,6.584301782999999,6.90596876,186.96391614,94.278279844,129.63368378,40.378667044,85.708826674,3.714783322,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,21.0,3.0,4.0,1.0,2.0,0.0,1.0
28.0,54.0,38.0,40.0,0.0,0.0,1946.4574678,6.7317946272,6.774775569400001,199.37160618,94.023842682,131.08721824,40.047580666,84.706986332,4.0116966124,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,24.0,7.0,4.0,1.0,2.0,0.0,1.0
30.0,60.0,47.0,12.0,0.0,42.0,1007.5716244800002,6.405095977399999,9.1166817038,382.67832694,51.244102394,160.97329202,89.09119469,177.68029287999997,6.628946535,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.53999999999999,2.9799999999999995,4.48,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,2.0,5.0,8.0,1.0,2.0,0.0,1.0
31.0,62.0,63.0,11.0,12.0,15.0,1036.81602496,6.5471650178,9.444715554999998,472.69259984,74.968931598,165.40486657,76.41462873,254.13470919999995,27.537064592,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,9.0,2.0,6.0,1.0,2.0,0.0,1.0
27.0,53.0,43.0,23.0,0.0,24.0,880.48130004,6.0104957666,6.6687792962,358.55628172,76.57741720199999,187.16509508,77.19664791400001,143.542898056,24.4742344422,10.6,10.6,10.6,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,20.0,4.0,4.0,1.0,2.0,0.0,1.0
34.0,65.0,54.0,38.0,0.0,0.0,698.6096420199999,6.5481468106,6.8031435082,297.53379320000005,89.973815384,91.186701826,41.076094646,55.754316284000005,48.35050991199999,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,32.0,7.0,8.0,1.0,2.0,0.0,1.0
29.0,58.0,37.0,8.0,0.0,15.0,1818.27171924,6.801072781799999,7.8200087702,284.07184232,93.799588966,130.55941864,44.693656984,99.022262776,5.682332541800001,12.4,12.4,12.4,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,20.0,3.0,4.0,1.0,2.0,0.0,1.0
25.0,50.0,56.0,11.0,13.0,15.0,725.68284564,6.4281257368,13.03875613,505.4021342,92.268059026,175.84214002000002,120.14349244,240.5267181,20.064123056,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,28.0,2.0,2.0,1.0,2.0,0.0,1.0
32.0,62.0,34.0,15.0,0.0,37.0,789.70739432,6.5696837958000005,13.232005694,597.98231624,92.893770538,140.0086978,62.65768473999999,137.87277636000002,12.111030196000002,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,16.0,5.0,4.0,1.0,2.0,0.0,1.0
28.0,54.0,41.0,36.0,0.0,0.0,1946.4574678,6.7317946272,6.774775569400001,199.37160618,94.023842682,131.08721824,40.047580666,84.706986332,4.0116966124,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,22.0,7.0,5.0,1.0,2.0,0.0,1.0
